likes,body,time
69,"Литературный критик Галина Юзефович рассказывает о романе прозаика и эссеиста Алексея Поляринова «Риф». В нем переплетаются сюжетные линии трех героинь: одна живет на севере, другая в США, третья — в Москве. Это по-настоящему «читательский» (то есть написанный читателем и написанный для читателя) роман.",1601131769
132,Задержание участницы сегодняшнего женского марша в Минске,1601129369
85,"Коронавирус снова с нами: вчера власти Москвы рекомендовали пожилым и людям с хроническими заболеваниями вернуться на самоизоляцию, сегодня так же поступили власти Подмосковья",1601126969
44,"На этой неделе в кино идет биографический фильм «Стрельцов» с Александром Петровым в роли знаменитого футболиста, семейная драма «Гнездо» с Джудом Лоу и еще несколько интересных картин.",1601124569
96,"С 2000 года главный хит всех белорусских протестов, да и просто самая популярная песня на белорусском языке — «Тры чарапахi» минской рок-группы N.R.M. Ее поют и оппозиция на митингах, и футбольные фанаты на трибунах. Хотя в ней почти нет никаких революционных намеков, кроме альтернативного варианта припева, появившегося во второй половине 2000-х. Вместе с одним из авторов песни и белорусским музыкальным критиком выясняем, как так вышло.",1601122169
116,"В Минске в два часа дня началась еженедельная женская акция протеста. Ее участниц сразу стали задерживать. В прошлую субботу, напомним, белорусские силовики задержали несколько сотен участниц женского марша",1601119769
67,"Вчера вечером в Харьковской области Украины разбился военно-транспортный самолет Ан-26. На его борту были 27 человек. По предварительным данным, 26 из них погибли. Одному человеку удалось выжить. Сообщается, что он выпрыгнул из самолета на небольшой высоте (с ним выпрыгнул еще один пассажир, но он позже умер в больнице)",1601117802
82,"Кажется, Конор Макгрегор снова передумал завершать карьеру",1601116505
159,За последние сутки в России выявили 7523 новых случаев коронавируса. В предыдущий день прирост составил 7212 новых случаев. До этого суточный прирост свыше семи тысяч не наблюдался с 28 июня.,1601112905
140,В Москве за последние сутки выявили 1792 новых заболевших COVID-19. Это рекорд с 8 июня,1601110468
58,"Сложный тест о средневековом быте москвичей. Попробуйте не перепутать кресала, совни и крицы! Если не получится — ничего страшного, все расскажут археологи Музея Москвы.",1601108738
156,"В Москве зарегистрировали резкий всплеск заболеваемости коронавирусом. Одновременно власти начали вводить ограничения — пока довольно мягкие. Мы собрали все насущные вопросы про вторую волну и постарались на них ответить. Это, вообще говоря, реально она — вторая волна? Все лето в Москве было 400-500 случаев в день, а сейчас внезапно в три раза больше, и как такое возможно? Может быть, можно было проскочить?

По подсчетам «Медузы», на начало сентября в столице наблюдается около 2,2 миллиона получивших иммунитет — чуть более 17% населения. И это очень далеко от классического понимания популяционного иммунитета, при достижении которого распространение эпидемии постепенно заканчивается.",1601105138
